Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,BSA,Budget_SubActivity_BSA_Title,Add_Non_Add,Include_In_TOA,FY_2025_Actuals,FY_2025_Reconciliation,FY_2025_Total,FY_2026_Discretionary_Enacted,FY_2026_PL119_21_Spend_Plan,FY_2026_Total,FY_2027_Discretionary_Request,FY_2027_Mandatory_Request,FY_2027_Total,Classification
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,005,Basic Pay,Add,Y,9642225,,9642225,9731046,2397,9733443,10204460,,10204460,U
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,010,Retired Pay Accrual,Add,Y,2498539,,2498539,2354247,,2354247,2068528,,2068528,U
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,011,Thrift Savings Plan Matching Contributions,Add,Y,138181,,138181,145363,,145363,211328,,211328,U
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,025,Basic Allowance for Housing,Add,Y,2967775,,2967775,3019437,182367,3201804,3115609,,3115609,U
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,030,Basic Allowance for Subsistence,Add,Y,383150,,383150,383580,,383580,389987,,389987,U
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,035,Incentive Pays,Add,Y,97088,,97088,98549,,98549,85168,,85168,U
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,040,Special Pays,Add,Y,445307,,445307,469043,107,469150,489448,,489448,U
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,045,Allowances,Add,Y,220548,,220548,184340,88,184428,207147,,207147,U
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,050,Separation Pay,Add,Y,81615,,81615,70868,,70868,61367,,61367,U
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,055,Social Security Tax,Add,Y,737896,,737896,743275,174,743449,779799,,779799,U
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,999,Undistributed,Add,Y,0,,0,0,,0,0,,0,U
2010A,"Military Personnel, Army",A,01,Pay and Allowances of Officers,999,Classified Programs,Add,Y,,,,,,,0,,0,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,060,Basic Pay,Add,Y,17176724,,17176724,17991651,20209,18011860,19513776,,19513776,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,065,Retired Pay Accrual,Add,Y,4486840,,4486840,4354810,,4354810,3946722,,3946722,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,066,Thrift Savings Plan Matching Contributions,Add,Y,321680,,321680,361497,,361497,441993,,441993,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,080,Basic Allowance for Housing,Add,Y,5945330,,5945330,6105810,703556,6809366,6460418,,6460418,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,085,Incentive Pays,Add,Y,84021,,84021,85543,,85543,82284,,82284,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,090,Special Pays,Add,Y,1132456,,1132456,1167086,835,1167921,1019394,,1019394,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,095,Allowances,Add,Y,799238,,799238,800335,698,801033,900501,,900501,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,100,Separation Pay,Add,Y,295236,,295236,304740,,304740,288054,,288054,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,105,Social Security Tax,Add,Y,1303034,,1303034,1376412,1546,1377958,1492811,,1492811,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,115,Basic Allowance for Subsistence,Add,Y,,,,0,0,0,1653461,,1653461,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,120,Subsistence-In-Kind,Add,Y,,,,0,,0,1183640,,1183640,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,999,Classified Programs,Add,Y,,,,,,,0,,0,U
2010A,"Military Personnel, Army",A,02,Pay and allowances of enlisted personnel,999,Undistributed,Add,Y,0,,0,0,,0,0,,0,U
2010A,"Military Personnel, Army",A,03,Pay and Allowances of Cadets,110,Academy Cadets,Add,Y,112681,,112681,115749,,115749,121063,,121063,U
2010A,"Military Personnel, Army",A,03,Pay and Allowances of Cadets,999,Undistributed,Add,Y,,,,,,,0,,0,U
2010A,"Military Personnel, Army",A,04,Subsistence of Enlisted Personnel,115,Basic Allowance for Subsistence,Add,Y,1557265,,1557265,1578246,1747,1579993,,,,U
2010A,"Military Personnel, Army",A,04,Subsistence of Enlisted Personnel,120,Subsistence-In-Kind,Add,Y,1127486,,1127486,1084824,,1084824,,,,U
2010A,"Military Personnel, Army",A,04,Subsistence of Enlisted Personnel,999,Undistributed,Add,Y,0,,0,,,,,,,U
