Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,BSA,Budget_SubActivity_BSA_Title,Budget_Line_Item,Program_Element_Budget_Line_Item_BLI_Title,Cost_Type,Cost_Type_Title,Add_Non_Add,FY_2025_Actuals_Quantity,FY_2025_Actuals_Amount,FY_2025_Reconciliation_Quantity,FY_2025_Reconciliation_Amount,FY_2025_Total_Quantity,FY_2025_Total_Amount,FY_2026_Discretionary_Enacted_Quantity,FY_2026_Discretionary_Enacted_Amount,FY_2026_PL_119_21_Spend_Plan_Quantity,FY_2026_PL_119_21_Spend_Plan_Amount,FY_2026_Total_Quantity,FY_2026_Total_Amount,FY_2027_Discretionary_Request_Quantity,FY_2027_Discretionary_Request_Amount,FY_2027_Mandatory_Quantity,FY_2027_Mandatory_Amount,FY_2027_Total_Quantity,FY_2027_Total_Amount,Classification
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,,Other Support,6380AZ3110,Aircrew Integrated Systems,T,NATL Guard Equip (MEMO NON ADD),Add,,2738,,,,2738,,4224,,,,4224,,,,,,,U
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,,Other Support,6380AZ3110,Aircrew Integrated Systems,R,Reserve Equip (MEMO NON ADD),Add,,912,,,,912,,936,,,,936,,,,,,,U
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,,Other Support,5212AZ3100,Common Ground Equipment,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,12538,,,,12538,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,,Modification of Aircraft,8859AA0711,GATM Rollup,T,NATL Guard Equip (MEMO NON ADD),Add,,1937,,,,1937,,1860,,,,1860,,,,,,,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,,Modification of Aircraft,8859AA0711,GATM Rollup,R,Reserve Equip (MEMO NON ADD),Add,,242,,,,242,,233,,,,233,,,,,,,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,,Modification of Aircraft,8662A01006,Aviation ASSURED PNT,T,NATL Guard Equip (MEMO NON ADD),Add,,27664,,,,27664,,19790,,,,19790,,22022,,,,22022,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,,Modification of Aircraft,8662A01006,Aviation ASSURED PNT,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,2474,,,,2474,,2752,,,,2752,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,,Modification of Aircraft,8660A00713,Degraded Visual Environment,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,3000,,,,3000,,,,,,,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,,Modification of Aircraft,8659AA0723,"Comms, Nav Surveillance",T,NATL Guard Equip (MEMO NON ADD),Add,,24480,,,,24480,,4626,,,,4626,,5754,,,,5754,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,,Modification of Aircraft,8659AA0723,"Comms, Nav Surveillance",R,Reserve Equip (MEMO NON ADD),Add,,3060,,,,3060,,1157,,,,1157,,1438,,,,1438,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,,Modification of Aircraft,8658AA0712,Network And Mission Plan,T,NATL Guard Equip (MEMO NON ADD),Add,,16558,,,,16558,,13612,,,,13612,,10349,,,,10349,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,,Modification of Aircraft,8658AA0712,Network And Mission Plan,R,Reserve Equip (MEMO NON ADD),Add,,2070,,,,2070,,1432,,,,1432,,1089,,,,1089,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),T,NATL Guard Equip (MEMO NON ADD),Add,17,550113,,,17,550113,6,187810,,,6,187810,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,,Fixed Wing,9670A00005,MQ-1 UAV,T,NATL Guard Equip (MEMO NON ADD),Add,8,240000,,,8,240000,8,240000,,,8,240000,,,,,,,U
2032A,"Missile Procurement, Army",A,03,Modification of missiles,,Modifications,6580C67501,HIMARS Modifications,T,NATL Guard Equip (MEMO NON ADD),Add,,34999,,,,34999,,,,,,,,27182,,,,27182,U
2032A,"Missile Procurement, Army",A,03,Modification of missiles,,Modifications,2690CE8710,AVENGER MODS,T,NATL Guard Equip (MEMO NON ADD),Add,,1479,,,,1479,,,,,,,,,,,,,U
2032A,"Missile Procurement, Army",A,02,Other missiles,,Anti-Tank/Assault Missile Sys,6060C65405,MLRS Reduced Range Practice Rockets (RRPR),T,NATL Guard Equip (MEMO NON ADD),Add,882,7188,,,882,7188,876,7057,,,876,7057,132,1607,,,132,1607,U
2032A,"Missile Procurement, Army",A,02,Other missiles,,Surface-to-Air Missile System,8082C14300,M-SHORAD - Procurement,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,29,631114,,,29,631114,14,712690,,,14,712690,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,,Mod of Weapons and Other Combat Veh,3005GZ1700,M777 Mods,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,1038,,,,1038,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,,Weapons & Other Combat Vehicles,8205G14510,Next Generation Squad Weapon,T,NATL Guard Equip (MEMO NON ADD),Add,,115790,,,,115790,,100412,,,,100412,,213475,,,,213475,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,,Weapons & Other Combat Vehicles,8205G14510,Next Generation Squad Weapon,R,Reserve Equip (MEMO NON ADD),Add,,6,,,,6,,,,,,,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,,Weapons & Other Combat Vehicles,8190G01506,Precision Sniper Rifle,T,NATL Guard Equip (MEMO NON ADD),Add,,3482,,,,3482,,,,,,,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,,Weapons & Other Combat Vehicles,6659G08100,LOCATION & AZIMUTH DETERMINATION SYSTEM (LADS,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,1,,,,1,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,,Weapons & Other Combat Vehicles,0418GN0003,Personal Defense Weapon (Roll),T,NATL Guard Equip (MEMO NON ADD),Add,0,3038,,,0,3038,0,1002,,,0,1002,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,,Weapons & Other Combat Vehicles,0418GN0003,Personal Defense Weapon (Roll),R,Reserve Equip (MEMO NON ADD),Add,0,1538,,,0,1538,,,,,,,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,,Modification of Tracked Combat Vehicles,5225GZ3001,Joint Assault Bridge,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,9,57081,,,9,57081,3,46613,,,3,46613,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,,Modification of Tracked Combat Vehicles,2073GZ0410,Paladin Integrated Management (PIM),T,NATL Guard Equip (MEMO NON ADD),Add,15,209144,,,15,209144,18,321750,,,18,321750,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,,Modification of Tracked Combat Vehicles,1382GZ3300,BRADLEY FIRE SUPPORT TEAM (BFIST) VEHICLE,T,NATL Guard Equip (MEMO NON ADD),Add,,3061,,,,3061,,,,,,,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,,Tracked Combat Vehicles,4872G84900,ASSAULT BREACHER VEHICLE (ABV),T,NATL Guard Equip (MEMO NON ADD),Add,,2622,,,,2622,,,,,,,,,,,,,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Miscellaneous,9615EA8500,Closeout Liabilities,R,Reserve Equip (MEMO NON ADD),Add,,2,,,,2,,3,,,,3,,3,,,,3,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Miscellaneous,4758EA0550,First Destination Transportation (AMMO),T,NATL Guard Equip (MEMO NON ADD),Add,,3122,,,,3122,,2976,,,,2976,,2994,,,,2994,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Miscellaneous,4758EA0550,First Destination Transportation (AMMO),R,Reserve Equip (MEMO NON ADD),Add,,585,,,,585,,558,,,,558,,561,,,,561,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Miscellaneous,4370EA0575,Ammunition Peculiar Equipment,T,NATL Guard Equip (MEMO NON ADD),Add,,525,,,,525,,2595,,,,2595,,2241,,,,2241,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Miscellaneous,4370EA0575,Ammunition Peculiar Equipment,R,Reserve Equip (MEMO NON ADD),Add,,98,,,,98,,487,,,,487,,420,,,,420,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Miscellaneous,2624EA0055,Items Less Than $5 Million (AMMO),T,NATL Guard Equip (MEMO NON ADD),Add,,1205,,,,1205,,892,,,,892,,698,,,,698,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Miscellaneous,2624EA0055,Items Less Than $5 Million (AMMO),R,Reserve Equip (MEMO NON ADD),Add,,225,,,,225,,167,,,,167,,130,,,,130,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Miscellaneous,0684EB0016,"Ammo Components, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,263,,,,263,,394,,,,394,,396,,,,396,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Miscellaneous,0684EB0016,"Ammo Components, All Types",R,Reserve Equip (MEMO NON ADD),Add,,49,,,,49,,74,,,,74,,74,,,,74,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Other Ammunition,8278E51200,"Simulators, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,2079,,,,2079,,1638,,,,1638,,1803,,,,1803,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Other Ammunition,8278E51200,"Simulators, All Types",R,Reserve Equip (MEMO NON ADD),Add,,391,,,,391,,308,,,,308,,337,,,,337,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Other Ammunition,6038E46900,"Signals, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,1927,,,,1927,,3528,,,,3528,,2516,,,,2516,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Other Ammunition,6038E46900,"Signals, All Types",R,Reserve Equip (MEMO NON ADD),Add,,362,,,,362,,661,,,,661,,471,,,,471,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Other Ammunition,4582E34000,"Grenades, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,9163,,,,9163,,5883,,,,5883,,6876,,,,6876,U
