Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,Line_Number,BSA,Budget_SubActivity_BSA_Title,Budget_Line_Item,Budget_Line_Item_BLI_Title,Cost_Type,Cost_Type_Title,Add_Non_Add,FY_2025_Actuals_Quantity,FY_2025_Actuals_Amount,FY_2025_Reconcilation_Quantity,FY_2025_Reconciliation_Amount,FY_2025_Total_Quantity,FY_2025_Total_Amount,FY_2026_Discretionary_Enacted_Quantity,FY_2026_Discretionary_Enacted_Amount,FY_2026_PL_119_21_Spend_Plan_Quantity,FY_2026_PL_119_21_Spend_Plan_Amount,FY_2026_Total_Quantity,FY_2026_Total_Amount,FY_2027_Discretionary_Request_Quantity,FY_2027_Discretionary_Request_Amount,FY_2027_Mandatory_Quantity,FY_2027_Mandatory_Amount,FY_2027_Total_Quantity,FY_2027_Total_Amount,Classification
2031A,"Aircraft Procurement, Army",A,01,Aircraft,1,10,Fixed Wing,9670A00005,MQ-1 UAV,A,Weapon System Cost,Add,8,240000,,,8,240000,8,240000,,,8,240000,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,2,10,Fixed Wing,9672A00510,Future UAS Family,A,Weapon System Cost,Add,,57902,,,,57902,,71459,,26000,,97459,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,3,10,Fixed Wing,9678A12500,SMALL UNMANNED AIRCRAFT SYSTEMS,A,Weapon System Cost,Add,,190914,,,,190914,,426029,,300000,,726029,,291472,,,,291472,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,4,10,Fixed Wing,9681A14000,UNMANNED AIRCRAFT SYSTEMS (UAS),A,Weapon System Cost,Add,,,,,,,,,,,,,,52398,,,,52398,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,5,10,Fixed Wing,9697A12400,"HADES PLATFORM, PAYLOADS/PED, AND INTEGRATION",A,Weapon System Cost,Add,,,,,,,,26850,,,,26850,,227569,,,,227569,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,6,20,Rotary,4742A05001,UH-72 LAKOTA LIGHT UTILITY HELICOPTER,A,Weapon System Cost,Add,,10000,,,,10000,,,,98000,,98000,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,7,20,Rotary,5757A05111,AH-64 Apache Block IIIA Reman,A,Weapon System Cost,Add,31,667759,,,31,667759,7,361669,,,7,361669,,1552,,,,1552,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,7,20,Rotary,5757A05111,AH-64 Apache Block IIIA Reman,B,Less: Advance Procurement (PY),Add,,-110360,,,,-110360,,,,,,,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,9,20,Rotary,6761A12000,Future Vertical Lift Family of Systems,C,Advance Procurement (CY),Add,,,,,,,,,,,,,,127217,,,,127217,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,9,20,Rotary,6761A12000,Future Vertical Lift Family of Systems,C,C (FY 2027 for FY 2028) (M),Non-Add,,,,,,,,,,,,,,127217,,,,127217,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,10,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),A,Weapon System Cost,Add,26,861548,,,26,861548,29,971230,,,29,971230,1,104257,,,1,104257,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,10,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),B,Less: Advance Procurement (PY),Add,,-92494,,,,-92494,,-58170,,,,-58170,,-65000,,,,-65000,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,11,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),C,Advance Procurement (CY),Add,,58170,,,,58170,,65000,,,,65000,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,11,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),C,C (FY 2025 for FY 2026) (M),Non-Add,,58170,,,,58170,,,,,,,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,11,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),C,C (FY 2026 for FY 2027) (M),Non-Add,,,,,,,,65000,,,,65000,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,12,20,Rotary,6775A05101,CH-47 Helicopter,A,Weapon System Cost,Add,11,718634,,,11,718634,11,628798,,,11,628798,5,272066,,,5,272066,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,12,20,Rotary,6775A05101,CH-47 Helicopter,B,Less: Advance Procurement (PY),Add,,-18936,,,,-18936,,,,,,,,-61421,,,,-61421,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,13,20,Rotary,6775A05101,CH-47 Helicopter,C,Advance Procurement (CY),Add,,,,,,,,61421,,,,61421,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,13,20,Rotary,6775A05101,CH-47 Helicopter,C,C (FY 2026 for FY 2027) (M),Non-Add,,,,,,,,61421,,,,61421,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,14,20,Rotary,9990A19900,Spectrum Army SUAS,A,Weapon System Cost,Add,,1824,,,,1824,,,,,,,,,,,,,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,15,10,Modification of Aircraft,0023A01001,MQ-1 PAYLOAD,A,Weapon System Cost,Add,,14086,,,,14086,,,,,,,,53190,,,,53190,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,16,10,Modification of Aircraft,0756AA6601,Gray Eagle Mods2,A,Weapon System Cost,Add,,23865,,,,23865,,12351,,,,12351,,2556,,,,2556,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,17,10,Modification of Aircraft,2706AA6605,AH-64 MODS,A,Weapon System Cost,Add,,93826,,,,93826,,131236,,,,131236,,251645,,,,251645,U
