Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,Line_Number,PE_BLI,Program_Element_Budget_Line_Item_BLI_Title,Include_In_TOA,FY_2025_Actuals,FY_2025_Reconciliation,FY_2025_Total,FY_2026_Discretionary_Enacted,FY_2026_PL_119_21_Spend_Plan,FY_2026_Total,FY_2027_Discretionary_Request,FY_2027_Mandatory_Request,FY_2027_Total,Classification
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,1,0601102A,Defense Research Sciences,Y,290464,,290464,258178,1000,259178,215322,,215322,U
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,2,0601103A,University Research Initiatives,Y,75313,,75313,77178,28000,105178,63102,,63102,U
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,3,0601104A,University and Industry Research Centers,Y,109728,,109728,72391,,72391,53598,,53598,U
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,4,0601121A,Cyber Collaborative Research Alliance,Y,5525,,5525,5463,,5463,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,5,0601275A,Electronic Warfare Basic Research,Y,,,,94862,,94862,64031,,64031,U
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,6,0601601A,Artificial Intelligence and Machine Learning Basic Research,Y,9933,,9933,17012,,17012,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,7,0602002A,Army Agile Innovation and Development-Applied Research,Y,973,,973,9455,,9455,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,8,0602134A,Counter Improvised-Threat Advanced Studies,Y,4098,,4098,6174,,6174,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,9,0602135A,Counter Small Unmanned Aerial Systems (C-SUAS) Applied Research,Y,,,,12618,,12618,26523,,26523,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,10,0602141A,Lethality Technology,Y,126660,,126660,176157,,176157,232046,,232046,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,11,0602143A,Soldier Lethality Technology,Y,131645,,131645,223990,,223990,68018,,68018,U
