Account,Account_Title,Budget_Activity,Budget_Activity_Title,Organization,State_Country,State_Country_Title,Fiscal_Year,Facility_Category_Title,Location_Title,Construction_Project,Construction_Project_Title,Classification,FY2025_Authorization_Amount,FY2025_Authorization_of_Approp_Amount,FY2025_Appropriation_Amount,FY2025_Total_Obligation_Authority
0720A,"Family Housing Construction, Army",01,New Construction,A,BE,Belgium,2025,Family Housing Construction,Chievres AB,09324100,Family Housing New Construction (84 units),U,100954,100954,100954,100954
0720A,"Family Housing Construction, Army",01,New Construction,A,GY,Germany,2025,Family Housing Construction,Baumholder,09330400,Family Housing Replac Construction (54 Units),U,63246,63246,63246,63246
0720A,"Family Housing Construction, Army",03,Construction Improvements,A,GA,Georgia,2025,Family Housing Construction,Fort Gordon,10494600,Fort Gordon MHPI Equity Inves (100 Units),U,50000,50000,50000,50000
0720A,"Family Housing Construction, Army",03,Construction Improvements,A,JA,Japan,2025,Family Housing Construction,Sagamihara,10156500,Family Housing Improv Construction (35 Units),U,31114,31114,31114,31114
0720A,"Family Housing Construction, Army",04,Design,A,ZU,Worldwide Unspecified,2025,Family Housing P&D,Unspecified Worldwide Locations,09437700,Family Housing P & D,U,,31333,31333,31333
0720A,"Family Housing Construction, Army",01,New Construction,A,ZU,Worldwide Unspecified,2025,Family Housing Construction,Unspecified Worldwide Locations,90072000,Foreign Currency Fluctuation,U,,,,1000
2050A,"Military Construction, Army",01,Major construction,A,PA,Pennsylvania,2025,Operational Facilities,Letterkenny Army Depot,08643300,Missile/Munitions Distribution Facility,U,62000,62000,62000,62000
2050A,"Military Construction, Army",01,Major construction,A,GY,Germany,2025,Troop Housing Facilities,Ansbach,10227200,Barracks,U,100000,100000,100000,100000
2050A,"Military Construction, Army",01,Major construction,A,NY,New York,2025,Community Facilities,Watervliet Arsenal,08150300,Fire Station,U,53000,53000,53000,53000
2050A,"Military Construction, Army",01,Major construction,A,GY,Germany,2025,Troop Housing Facilities,Ansbach,10227300,Barracks,U,91000,91000,91000,91000
2050A,"Military Construction, Army",01,Major construction,A,WA,Washington,2025,Troop Housing Facilities,Joint Base Lewis-Mcchord,08099500,Barracks,U,161000,37000,161000,161000
2050A,"Military Construction, Army",01,Major construction,A,LA,Louisiana,2025,Troop Housing Facilities,Fort Polk,08002000,Rotational Unit Billeting Area,U,105000,50000,50000,50000
2050A,"Military Construction, Army",01,Major construction,A,TX,Texas,2025,Real Estate,Fort Bliss,10509400,Cost to Complete - Rail Yard,U,,44000,44000,44000
2050A,"Military Construction, Army",01,Major construction,A,GY,Germany,2025,Training Facilities,Hohenfels,10527400,Cost to Complete Simulations Center,U,,35000,35000,35000
2050A,"Military Construction, Army",01,Major construction,A,HI,Hawaii,2025,Maintenance & Production Facilities,Wheeler Army Air Field,07689800,Aircraft Maintenance Hangar,U,231000,36000,231000,231000
2050A,"Military Construction, Army",01,Major construction,A,TX,Texas,2025,Maintenance & Production Facilities,Red River Army Depot,07298700,Vehicle Paint Shop,U,34000,34000,34000,34000
2050A,"Military Construction, Army",01,Major construction,A,MO,Missouri,2025,Troop Housing Facilities,Fort Leonard Wood,07168400,"Adv Individual Training Barracks Cplx, Ph2",U,144000,120000,144000,144000
2050A,"Military Construction, Army",01,Major construction,A,PA,Pennsylvania,2025,Maintenance & Production Facilities,Letterkenny Army Depot,06897600,Component Rebuild Shop (Inc 1),U,284000,45000,90000,90000
2050A,"Military Construction, Army",01,Major construction,A,AK,Alaska,2025,Training Facilities,Fort Wainwright,06614300,Automated Multipurpose Machine Gun Range,U,23000,23000,23000,23000
2050A,"Military Construction, Army",01,Major construction,A,WA,Washington,2025,Supply Facilities,Joint Base Lewis-Mcchord,09746200,Supply Support Activity,U,31000,31000,40000,40000
2050A,"Military Construction, Army",02,Minor construction,A,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,09490200,Minor Construction,U,,105500,105500,105500
2050A,"Military Construction, Army",01,Major construction,A,VA,Virginia,2025,Troop Housing Facilities,Joint Base Myer-Henderson,09805200,Barracks,U,180000,180000,180000,180000
2050A,"Military Construction, Army",01,Major construction,A,CA,California,2025,Operational Facilities,Fort Irwin,06370300,Training Support Center,U,44000,44000,44000,44000
2050A,"Military Construction, Army",01,Major construction,A,GY,Germany,2025,Troop Housing Facilities,Smith Barracks,09808700,Barracks,U,61000,61000,61000,61000
2050A,"Military Construction, Army",01,Major construction,A,MD,Maryland,2025,Community Facilities,Fort Meade,02373000,Child Development Center,U,46000,46000,46000,46000
2050A,"Military Construction, Army",02,Minor construction,A,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,10544700,PDI: Minor Construction,U,,8000,8000,8000
2050A,"Military Construction, Army",01,Major construction,A,ZU,Worldwide Unspecified,2025,Administrative Facilities,Unspecified Worldwide Locations,01900000,Foreign Currency Fluctuation,U,,,,3000
2050A,"Military Construction, Army",02,Minor construction,A,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,10544800,EDI: Minor Construction,U,,14519,14519,14519
2050A,"Military Construction, Army",01,Major construction,A,MI,Michigan,2025,R&D Facilities,Detroit Arsenal,09374600,Manned/Unmanned Tactical Vehicle Lab,U,37000,37000,37000,37000
2050A,"Military Construction, Army",01,Major construction,A,KY,Kentucky,2025,Training Facilities,"Fort Campbell, Kentucky",09938400,Automated Record Fire Plus Range,U,11800,11800,11800,11800
2050A,"Military Construction, Army",03,Design,A,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,09490000,Planning and Design,U,,323727,293527,293527
2050A,"Military Construction, Army",03,Design,A,ZU,Worldwide Unspecified,2025,Supporting Activities,Unspecified Worldwide Locations,09490100,Host Nation Support,U,,25000,25000,25000
2050A,"Military Construction, Army",01,Major construction,A,CA,California,2025,Supply Facilities,Concord,09334300,Ammunition Holding Facility,U,68000,68000,68000,68000
2050A,"Military Construction, Army",01,Major construction,A,BE,Belgium,2025,Community Facilities,Shape HQ,10020900,Youth Center,U,45000,45000,45000,45000
2050A,"Military Construction, Army",03,Design,A,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,10544600,PDI: Planning and Design,U,,26011,26011,26011
2050A,"Military Construction, Army",01,Major construction,A,TX,Texas,2025,Maintenance & Production Facilities,Fort Hood,09176100,Vehicle Maintenance Shop (Motor Pool #70),U,69000,69000,69000,69000
2050A,"Military Construction, Army",01,Major construction,A,GY,Germany,2025,Community Facilities,Wiesbaden Mil Cmty,10114900,Child Development Center,U,44000,44000,44000,44000
0725A,"Family Housing Operation and Maintenance, Army",06,Operation,A,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,19120000,Services,U,,9643,9643,9643
0725A,"Family Housing Operation and Maintenance, Army",12,Housing Privatization Support,A,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,19500000,Military Housing Privatization Initiative,U,,48057,48057,48057
0725A,"Family Housing Operation and Maintenance, Army",08,Maintenance,A,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,19200000,Maintenance of Real Property Facilities,U,,155825,155825,155825
0725A,"Family Housing Operation and Maintenance, Army",07,Leasing,A,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,19400000,Leased Housing,U,,120686,120686,120686
0725A,"Family Housing Operation and Maintenance, Army",06,Operation,A,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,19140000,Miscellaneous,U,,56,56,56
0725A,"Family Housing Operation and Maintenance, Army",06,Operation,A,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,19130000,Furnishings,U,,19229,19229,19229
0725A,"Family Housing Operation and Maintenance, Army",06,Operation,A,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,19110000,Management Account,U,,66266,66266,66266
0725A,"Family Housing Operation and Maintenance, Army",05,Utilities,A,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,19350000,Utilities,U,,60053,60053,60053
2085A,"Military Construction, Army National Guard",01,Major construction,A,MS,Mississippi,2025,Training Facilities,Amory,28240100,National Guard Readiness Center,U,,,16500,16500
2085A,"Military Construction, Army National Guard",01,Major construction,A,AK,Alaska,2025,Training Facilities,Fort Richardson,02102400,National Guard Readiness Center,U,67000,67000,67000,67000
2085A,"Military Construction, Army National Guard",01,Major construction,A,MS,Mississippi,2025,Training Facilities,Southaven Readiness Center,28032100,National Guard Readiness Center,U,,33000,11000,11000
2085A,"Military Construction, Army National Guard",01,Major construction,A,MT,Montana,2025,Maintenance & Production Facilities,Malta Readiness Center,30023800,National Guard Vehicle Maintenance Shop,U,14800,14800,14800,14800
2085A,"Military Construction, Army National Guard",01,Major construction,A,NV,Nevada,2025,Training Facilities,Hawthorne Army Depot,32244000,Automated Qualification/Training Range (QTR),U,18000,18000,18000,18000
