Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,AG_BSA,AG_Budget_SubActivity_BSA_Title,Line_Number,SAG_BLI,SAG_Budget_Line_Item_BLI_Title,Include_In_TOA,FY_2025_Actuals,FY_2025_Reconciliation,FY_2025_Total,FY_2026_Discretionary_Enacted,FY_2026_PL_119_21_Spend_Plan,FY_2026_Total,FY_2027_Discretionary_Request,FY_2027_Mandatory_Request,FY_2027_Total,Classification
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,010,111,Maneuver Units,Y,5576935,,5576935,4401507,361254,4762761,5309790,,5309790,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,020,112,Modular Support Brigades,Y,186224,,186224,219978,,219978,375682,,375682,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,030,113,Echelons Above Brigade,Y,833698,,833698,879419,,879419,1193028,,1193028,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,040,114,Theater Level Assets,Y,2556623,,2556623,2195156,100000,2295156,2395049,,2395049,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,050,115,Land Forces Operations Support,Y,1115390,,1115390,1299299,,1299299,1273674,,1273674,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,060,116,Aviation Assets,Y,2065586,,2065586,1708884,6476,1715360,1930557,,1930557,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,12,Land Forces Readiness,070,121,Force Readiness Operations Support,Y,8634635,,8634635,7092855,255174,7348029,7186195,,7186195,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,12,Land Forces Readiness,080,122,Land Forces Systems Readiness,Y,561814,,561814,565872,,565872,888277,,888277,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,12,Land Forces Readiness,090,123,Land Forces Depot Maintenance,Y,1360596,,1360596,152404,1420300,1572704,2022115,,2022115,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,12,Land Forces Readiness,100,124,Medical Readiness,Y,922071,,922071,836470,,836470,786815,,786815,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,13,Land Forces Readiness Support,110,131,Base Operations Support,Y,10281391,,10281391,10264056,51750,10315806,10390174,403243,10793417,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,13,Land Forces Readiness Support,120,132,"Facilities Sustainment, Restoration & Modernization",Y,4260444,,4260444,6180594,480000,6660594,5435364,9047379,14482743,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,13,Land Forces Readiness Support,130,133,Management and Operational Headquarters,Y,313112,,313112,260867,,260867,287812,,287812,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,13,Land Forces Readiness Support,140,135,Additional Activities,Y,294833,,294833,371527,,371527,383610,,383610,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,13,Land Forces Readiness Support,150,137,RESET,Y,314141,,314141,111688,,111688,117880,,117880,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,60,Combatant Command Support,160,141,US Africa Command,Y,423527,,423527,432596,,432596,693812,,693812,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,60,Combatant Command Support,170,142,US European Command,Y,361423,,361423,403379,,403379,510862,,510862,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,60,Combatant Command Support,180,143,US Southern Command,Y,272614,,272614,225546,,225546,464769,,464769,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,60,Combatant Command Support,190,144,US Forces Korea,Y,70738,,70738,77049,,77049,77775,,77775,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,CA,Cyberspace Activities,200,151,Cyberspace Activities - Cyberspace Operations,Y,414156,,414156,331467,3095,334562,366311,,366311,U
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,CA,Cyberspace Activities,210,153,Cyberspace Activities - Cybersecurity,Y,589505,7700,597205,560089,,560089,579954,,579954,U
2020A,"Operation and Maintenance, Army",A,02,Mobilization,21,Mobility Operations,220,211,Strategic Mobility,Y,530028,,530028,134892,,134892,53602,,53602,U
2020A,"Operation and Maintenance, Army",A,02,Mobilization,21,Mobility Operations,230,212,Army Prepositioned Stocks,Y,534694,,534694,330812,142141,472953,1125709,,1125709,U
2020A,"Operation and Maintenance, Army",A,02,Mobilization,21,Mobility Operations,240,213,Industrial Preparedness,Y,4229,,4229,3162,,3162,3172,,3172,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,31,Accession Training,250,311,Officer Acquisition,Y,200092,,200092,172424,,172424,193530,,193530,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,31,Accession Training,260,312,Recruit Training,Y,76530,,76530,78929,,78929,70431,,70431,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,31,Accession Training,270,313,One Station Unit Training,Y,92356,,92356,88033,,88033,96115,,96115,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,31,Accession Training,280,314,Senior Reserve Officers Training Corps,Y,563108,,563108,487830,,487830,503896,,503896,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,32,Basic Skill and Advanced Training,290,321,Specialized Skill Training,Y,1073977,,1073977,944897,,944897,1204230,,1204230,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,32,Basic Skill and Advanced Training,300,322,Flight Training,Y,1452130,,1452130,1359850,,1359850,1381437,,1381437,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,32,Basic Skill and Advanced Training,310,323,Professional Development Education,Y,199784,,199784,196315,,196315,201481,,201481,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,32,Basic Skill and Advanced Training,320,324,Training Support,Y,733580,,733580,550300,,550300,609925,,609925,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,33,"Recruiting, Other Training & Education",330,331,Recruiting and Advertising,Y,768536,,768536,720864,,720864,712092,,712092,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,33,"Recruiting, Other Training & Education",340,332,Examining,Y,202505,,202505,177666,,177666,,,,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,33,"Recruiting, Other Training & Education",350,333,Off-Duty and Voluntary Education,Y,249022,,249022,181211,30000,211211,216256,,216256,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,33,"Recruiting, Other Training & Education",360,334,Civilian Education and Training,Y,217807,,217807,216863,,216863,218683,,218683,U
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,33,"Recruiting, Other Training & Education",370,335,Junior Reserve Officer Training Corps,Y,203863,,203863,190668,,190668,218598,,218598,U
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,42,Logistics Operations,390,421,Servicewide Transportation,Y,1001404,,1001404,1236070,,1236070,1483938,,1483938,U
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,42,Logistics Operations,400,422,Central Supply Activities,Y,919906,,919906,710581,,710581,703829,,703829,U
