Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,AG_BSA,AG_Budget_SubActivity_BSA_Title,Line_Number,SAG_BLI,SAG_Budget_Line_Item_BLI_Title,Include_In_TOA,FY_2025_Actuals,FY_2025_PL_119_21_Spend_Plan,FY_2025_Total,FY_2026_Discretionary_Enacted,FY_2026_Mandatory_Enacted,FY_2026_Total,FY_2027_Discretionary_Request,FY_2027_Reconciliation_Request,FY_2027_Total,Classification
493001A,"Working Capital Fund, Army",A,01,Industrial Operations,08,-,010,R01,Industrial Operations,Y,142689,,142689,125589,,125589,20563,,20563,U
493001A,"Working Capital Fund, Army",A,04,Supply Management - Army,08,-,020,R04,Supply Management - Army,Y,3635,,3635,,,,,,,U
493002N,"Working Capital Fund, Navy",N,08,Research and Development Activities,08,-,010,0065,Naval Surface Warfare Centers,Y,30000,,30000,381600,,381600,266212,,266212,U
493003F,"Working Capital Fund, Air Force",TRANS,01,Transportation,08,-,010,ES18,Transportation,Y,1591,,1591,,52400,52400,,,,U
493003F,"Working Capital Fund, Air Force",F,02,CSAG Supply,08,-,020,102,Critical Spares,Y,,,,,,,4245563,,4245563,U
493003F,"Working Capital Fund, Air Force",F,03,Supply Management,08,-,030,110,Supplies and Materials,Y,86874,,86874,90262,,90262,194851,,194851,U
4555D,National Defense Stockpile Transaction Fund,DLA,01,"ACQUISITION, UPGRADE, AND RELOCATION",08,-,010,DS1,Defense Stockpile,Y,57172,,57172,5700,2000000,2005700,5700,18000000,18005700,U
493005D,"Working Capital Fund, Defense-Wide",DFAS,04,Defense Finance Operations,08,-,010,04,Defense Finance Operations - Direct,Y,,,,,,,273760,,273760,U
493005D,"Working Capital Fund, Defense-Wide",DLA,06,Energy Management - Defense,1N,Working Capital Fund Support,020,010,Energy Management - Def,Y,59787,,59787,1272,,1272,,,,U
493005D,"Working Capital Fund, Defense-Wide",DLA,08,Supply Chain Management - Defense,08,-,030,R08,Supply Chain Management - Defense,Y,,,,,,,,748000,748000,U
493005D,"Working Capital Fund, Defense-Wide",DLA,21,DOD MARKET FLUCTUATION ACCOUNT (FUEL),XX,Undistributed,040,999,Undistributed,Y,,,,,,,1000000,,1000000,U
493004D,"Working Capital Fund, Defense Commissary Agency",DECA,02,Commissary Operations,1N,Working Capital Fund Support,010,ES12,"Working Capital Fund, DECA",Y,1625468,,1625468,1527817,,1527817,1501344,,1501344,U
